interactor_A	interactor_B
P21827	P39987
P38985	P39987
P39987	P24276
P39987	P13574
P39987	P15705
P47164	P39987
P39987	P05453
P12385	P39987
P39987	Q06707
P39987	P36104
P39987	P35845
P39987	Q05471
Q04175	P39987
Q03761	P39987
Q03750	P39987
P25638	P39987
P39987	P15019
P18412	P39987
Q12043	P39987
P39987	Q08975
P41835	P39987
P04801	P39987
P40460	P39987
P39987	P39935
P53840	P39987
P39987	P06786
P39987	P38288
P31383	P39987
P48561	P39987
P28263	P39987
P53874	P39987
P39987	Q01476
P39944	P39987
P43593	P39987
P39987	P40453
P39987	P54860
P39987	P42945
P39987	Q04500
P39987	P40362
P39987	Q06679
P39987	P38856
Q7M4S9	P39987
P39987	P38222
P38266	P39987
P39987	P38150
P39987	Q12100
Q03897	P39987
P39987	Q05506
P40002	P39987
P39987	P43551
P39987	P53109
P39987	P40483
P39529	P39987
P39987	P36114
P39987	Q07799
P39987	Q06137
Q03102	P39987
P39987	P53963
P39987	Q10740
P42842	P39987
P39987	Q08206
P0C155	P39987
Q12179	P39987
Q08989	P39987
O13585	P39987
Q12303	P39987
P39987	P40583
P39987	P24088
Q12340	P39987
P39987	P40328
P39987	P39078
P39987	P38323
P32590	P39987
P25491	P39987
P07245	P38788
P38788	P22136
Q12013	P38788
P38788	P14843
P38788	P53946
P32448	P38788
P48361	P38788
P38788	Q06834
P21306	P38788
P38788	P43583
P53858	P38788
Q07457	P38788
P38788	P32639
P38788	Q08492
P25558	P38788
P53323	P38788
P38788	P53280
P38788	P47158
P38788	P40019
P53959	P38788
P38788	P46963
Q03375	P38788
P38788	P31115
Q08162	P38788
P38788	P53847
P32471	P38788
P36053	P38788
P38788	P32801
P38788	P39013
Q04660	P38788
P38788	P53743
P38788	P21268
P43592	P38788
P38788	P31380
P19659	P38788
P39732	P38788
P38788	P53849
P50107	P38788
Q08886	P38788
P38788	P32836
Q04322	P38788
P38788	P20448
P38788	Q06623
P61830	P38788
P32480	P38788
Q05549	P38788
P43579	P38788
P38788	P00927
P53877	P38788
P40580	P38788
P38788	P28743
P48570	P38788
P49367	P38788
P50113	P38788
P38788	P23059
P38788	P39534
P38788	Q07376
P24279	P38788
P25039	P38788
P24719	P38788
P38788	P46151
P40469	P38788
P38788	Q03246
P38788	P33748
P33749	P38788
P33412	P38788
P38996	P38788
P38788	P30771
Q00539	P38788
P38788	P25293
P38788	P32831
P39744	P38788
P38788	Q12143
P40354	P38788
P38788	Q00402
Q12524	P38788
P38788	P40316
P38788	P36139
P38788	P53252
P38788	Q03880
P21951	P38788
P38788	P47110
P38788	P32838
P38788	Q07350
P50896	P38788
P38788	Q12335
P40164	P38788
P25043	P38788
P06777	P38788
Q04231	P38788
P38788	P06778
P06104	P38788
P11938	P38788
P38622	P38788
Q04779	P38788
P38788	Q00816
P38788	P35196
P38788	P22276
P54964	P38788
P38788	P22336
P38788	P53552
P53118	P38788
P38138	P38788
P38788	P28000
P36121	P38788
P32349	P38788
P49167	P38788
P38788	Q12087
P38788	Q05636
P53236	P38788
P38788	Q12242
Q08873	P38788
P15303	P38788
O94742	P38788
Q12529	P38788
P38788	P53165
Q04195	P38788
P35207	P38788
Q12505	P38788
Q12098	P38788
P38788	Q00916
P38788	Q12420
P38788	Q04053
Q03954	P38788
P08458	P38788
P38788	P15705
P38788	P31376
P36104	P38788
P38788	Q08553
P25638	P38788
P36008	P38788
P33339	P38788
P38788	Q12043
P10081	P38788
Q03280	P38788
P36159	P38788
P38788	Q06682
P33202	P38788
P42945	P38788
P38788	P40362
Q06685	P38788
P38788	P34110
P52917	P38788
P38788	P47111
P38788	Q03390
P39735	P38788
P38788	P19880
P38788	P53169
P38222	P38788
P38788	P38109
P38788	P38340
Q12407	P38788
Q12156	P38788
P38788	P40498
P38788	Q3E7B2
