hu6660	rt2337	mo1058
rt1810	hu1044	mo3252
hu6349	rt7543	mo225
rt10114	hu1457	mo3744
hu10546	rt7507	mo11259
hu1010	rt11766	mo9912
mo7988	rt13336	hu14272
hu15932	rt11328	mo7983
hu16095	mo16335
rt13017	mo15668
mo11582	rt13395	hu7652
hu4501	rt4296	mo7481
rt3067	hu9876	mo201
rt13715	hu17615	mo5108
mo10680	rt10660	hu2704
hu10365	mo10273
hu9924	rt9717	mo8316
mo7317	rt771	hu7312
rt15595	mo819
mo14613	rt12396	hu15389
mo5712	rt5405	hu2864
hu6101	rt8205	mo7625
rt9835	hu16780	mo6207
mo3227	rt10064	hu10085
mo15413	rt13098	hu809
rt4163	hu17584	mo12797
hu4203	rt8080	mo1948
hu13432	mo4256
hu17060	mo16218
hu7718	mo11595
hu15377	rt14805	mo5678
rt7071	hu9106	mo10730
hu14900	mo16022
hu9364	rt4473	mo2931
hu14176	rt6083	mo13213
rt13601	hu15987	mo16356
mo9779	rt7380	hu13753
rt6877	hu10382	mo12395
mo14544	rt11882	hu17734
rt9083	hu10181	mo13101
hu7077	rt6069	mo3714
hu3579	rt7654	mo2076
mo17281	rt1925	hu14031
mo8313	rt5892	hu1121
mo7951	rt2253	hu7430
hu12430	rt7381	mo13024
hu597	rt6667	mo4225
hu11867	rt8123	mo14508
mo4687	rt7552	hu3454
hu249	rt13562	mo11405
rt14865	hu16205	mo12485
hu14427	mo16332
rt3812	hu13732	mo6215
hu9030	rt13536	mo14254
rt3704	hu3399	mo750
rt14771	hu16602	mo17013
rt12088	hu14535	mo11227
hu2808	rt489	mo1029
